System Type,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Sep,Sep(kpc),Paper(s),BibCode(s),DOI(s),Notes
(%)Binary Quasar,RX J0921+4529,RX J0921+4529A,Serendipitous / Optical Imaging,Long-Slit Optical Spectroscopy / Optical Imaging / Near-IR Imaging,1.6535,spec,09:21:12.81,+45:29:04.4,J2000,,,18.71,V,mag,RX J0921+4529B,1.6625,spec,09:21:13.41,+45:29:01.5,J2000,,,,,mag,6.93,,Muñoz+2001a ; Peng+2006 ; Popovic+2010,2001ApJ...546..769M ; 2006ApJ...649..616P ; 2010ApJ...721L.139P,https://doi.org/10.1086/318322 ; https://doi.org/10.1086/506266 ; https://doi.org/10.1088/2041-8205/721/2/L139,While Muñoz+ concludes that this is very likely a lens system but could not conclusively rule out the binary hypothesis a later paper by Popvic does conclude it is a genuine pair based on spectroscopic observations. Coordinates are unique and come from Simbad (which labels this as a lensed QSO system). Gaia has only one source listed on Simbad. Redshifts come from Popovic+2010. Peng+2006 also consider this a binary quasar; no einstein ring structure of the host galaxies is observed and if it is a lens then the host galaxy has an incredibly high mass deficit. In this catalog we assume this is a true dual. Check with Barry about Muoz+ spectra.

(%)Binary Quasar / Lens,FBQ 1633+3134,FBQ 1633+3134A,Optical Imaging,Optical Imaging / Near-IR Imaging / Long-Slit Optical Spectroscopy,1.52,spec,16:33:48.974,+31:34:11.85,J2000,,,17.624,V,mag,FBQ 1633+3134B,1.52,spec,16:33:49.020,+31:34:11.44,J2000,,,18.905,V,mag,0.663,,Morgan+2001,2001AJ....121..611M,https://doi.org/10.1086/318744,Considered a good lens candidate but without the detection of a foreground lens candidate the binary hypothesis cannot be ruled out. Coordinates from Simbad.

Binary Quasar,LBQS 0103-2753,LBQS 0103-2753A,Serendipitous / UV Spectroscopy / UV Imaging,UV Spectroscopy / UV Imaging / Optical Spectroscopy / Near-IR Spectroscopy / Near-IR Imaging,0.855,spec,01:06:21.1833030490,-27:33:49.016652399,J2000,Optical,Gaia,18.3,V,mag,LBQS 0103-2753B,0.858,spec,-99,-99,-99,-99,-99,-99,-99,-99,0.30,,Junkkarinen+2001 ; Shields+2012,2001ApJ...549L.155J ; 2012ApJ...744..151S,https://doi.org/10.1086/319173 ; 10.1088/0004-637X/744/2/151,Coordinates are not unique and are drawn from Simbad. Redshift for A comes from Shields+2012 and is derived from the H-alpha emission instead of CIV (the velocity offset of which implies a velcoty difference of ~4000 km s^-1). This pair constitutes a BAL+non-BAL pair. Shields+2012 confirms this system is in a major merger and at consistent redshifts. This is also a dual Type I/Type I system. Check with Barry.

(%)Binary Quasar,SDSS J233646.2-010732.6,SDSS J2336-0107A,Serendipitous / Optical Imaging / Fiber Spectroscopy,Optical Imaging / Near-IR Imaging / Long-Slit Optical Spectroscopy / Centroid Shift Analysis,1.2853,spec,23:36:46.2,-01:07:32.6,J2000,Optical,,,,mag,SDSS J2336-0107B,1.2871,spec,23:36:45.1,-01:07:32.4,J2000,Optical,,,,mag,1.67,,Gregg+2002 ; Liu+2016,2002ApJ...573L..85G ; 2016A&A...592L...4L,https://doi.org/10.1086/342088 ; https://doi:10.1051/0004-6361/201628430,Component B is a FeLoBAL quasar ; the striking differences in the spectra and short time delay rule out a lens interpretation. Coordinates from Gregg+2002. Liu+2016 used a centroid shift analysis method on this target to demonstrate the utility of the centroid shift method. Check with Nathan and see if Liu+ is just a varstrometry method.

(%)Binary Quasar,LBQS 0015+0239,LBQS 0015+0239A,Optical Imaging,Long-Slit Optical Spectroscopy,2.4747,spec,00:18:11.3889608936,+02:56:40.091339929,J2000,Optical,Gaia,18.7,V,mag,LBQS 0015+0239B,2.4831,spec,-99,-99,-99,-99,-99,-99,-99,-99,2.2,,Impey+2002,2002ApJ...574..623I,https://doi.org/10.1086/341064,Binary interpretation is favored for this system due to a lack of a lens ; dissimilarities in the N V and C IV emission line profiles; and the line of sight velocity difference. Coordinates not unique and come from Simbad.

Dual AGN,NGC 6240,NGC 6240 North,,X-ray Imaging,0.0245,spec,16:52:58.98,+02:24:02.8,J2000,Optical,,15.4,I,mag,NGC 6240 South,0.0245,spec,16:52:58.96,+02:24:01.0,J2000,Optical,,14.4,I,mag,1.8,,Komossa+2003 ; Wang+2010 ; Iwasawa+2011 ; Imanishi+2014 ; Kollatschny+2020,2003ApJ...582L..15K ; 2010RAA....10..309W ; 2011A&A...529A.106I ; 2014ApJ...780..106I ; 2020A&A...633A..79K,https://doi.org/10.1086/346145 ; https://doi.org/10.1088/1674-4527/10/4/003 ; https://doi.org/10.1051/0004-6361/201015264 ; https://doi.org/10.1088/0004-637X/780/1/106 ; https://https://ui.adsabs.harvard.edu/link_gateway/2020A&A...633A..79K/doi:10.1051/0004-6361/201936540,Angular separation is based on optical nuclei and pulled from Komossa+'s introduction; Need to find accurate X-ray positions for sources. Kollatschny+ claims a third nucleus with this merger. Imanishi+ note that both nuclei are selected as IR AGNs using their near-IR color criterion.

Binary SMBH Candidate,3C 66B,3C 66B,,VLBI Phase Reference Imaging / Periodicity****,0.0215,spec,02:23:11.41124,+42:59:31.3840,J2000,Radio,ICRF,14.81,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.45988364,,Sudou+2003 ; Jenet+2004 ; Iguchi+2010 ; Sudou+2017,2003Sci...300.1263S ; 2004ApJ...606..799J ; 2010ApJ...724L.166I ; 2017ApJ...841..103S,https://doi.org/10.1126/science.1082817 ; https://doi.org/10.1086/383020 ; https://doi.org/10.1088/2041-8205/724/2/L166 ; https://doi.org/10.3847/1538-4357/aa720a,VLBI phase reference imaging suggests orbital motion on order of year; Sudou+ claim possible presence of binary in addition to jet precession to explain observations. Sudou+2017 not super relevant but offers suggestions on future work for binary examination. Jenet+2004 rule out configuration proposed by Sudou+2003 based on pulsar timing but Iguchi+2010 find evidence of variability that could again be explained by a binary model.

(%)Binary Quasar Candidate / Binary SMBH Candidate (Unlikely),PKS 0537-441,PKS 0537-441,Optical Imaging / Variability,Multi-Object Optical Spectroscopy / Optical Imaging / Quasi-Periodicity,0.893,spec,05:38:50.36155219,-44:05:08.9389165,J2000,Radio,VLBI,16.48,V,mag,PKS 0537-441-A1,0.885,spec,-99,-99,-99,-99,-99,-99,-99,-99,3.9,,Heidt+2003 ; Sandrinelli+2014 ; Sandrinelli+2016 ; Sandrinelli+2016 ; Covino+2019,2003A&A...406..565H ; 2014A&A...562A..79S ; 2016ApJ...820...20S ; 2016AJ....151...54S ; 2019MNRAS.482.1270C,https://doi.org/10.1051/0004-6361:20030804 ; https://doi.org/10.1051/0004-6361/201321558 ; https://doi.org/10.3847/0004-637X/820/1/20 ; https://doi.org/10.3847/0004-6256/151/3/54 ; https://doi.org/10.1093/mnras/sty2720,Coordinates come from Simbad; not listed in Heidt's paper. Coordinates are not unique; only coordinates for the primary are available. Sandrinelli+2014 report >=3mag variability. Sandrinelli+ report a Quasi-Periodicity in this target but it is unclear if they know this is a possible dual quasar. Unclear what the true nature of this source is. Sandrinelli+2016 report peaks in  R J and K bands (150 days) as well as in gamma rays (351 days). This is not considered to be one of the more convincing cases of periodicity. Covino+ argue that that there is no strong case for year-long quasi-periodicities and the power spectrum is consistent with being generated by red noise.

Dual AGN Candidate,3C 294,3C 294 W,,AO Infared Imaging / X-ray Imaging,1.786,spec,14:06:44.074,+34:11:24.95,J2000,Radio,VLA,,,mag,3C 294 E,1.786,spec,14:06:44.1459,+34:11:24.91,J2000,NIR,,,,mag,0.90,,Stockton+2004 ; Heidt+2019,2004ApJ...600..626S ; 2019A&A...628A..28H,https://doi.org/10.1086/380096 ; https://doi.org/10.1051/0004-6361/201935892,Coordinates for 3C 294 come from McCaryh+94 after conversion to ICRS in paper; VLA imaging at 6cm gives coordinates. Heidt+ obtained deep and high res NIR imaging and optical spectroscopy but they could not determine whether the system truly is a dual AGN or a projected pair

Dual AGN Candidate,Arp 299,NGC 3690 E,,X-ray Imaging / X-ray Spectroscopy,0.0010,spec,11:28:33.9,+58:33:43.9,J2000,X-ray,XMM,,,mag,NGC 3690 W,0.0010,spec,11:28:31.326,+58:33:41.80,J2000,Infrared,2MASS,12.86,V,mag,22,,Ballo+2004 ; García-Marín+2006 ; Pérez-Torres+2010 ; Wang+2010 ; Alonso-Herrero+2013 ; Ptak+2015 ; Anastasopoulou+2016,2004ApJ...600..634B ;  2006ApJ...650..850G ; 2010A&A...519L...5P ; 2010RAA....10..309W ; 2013ApJ...779L..14A ;  2015ApJ...800..104P ; 2016MNRAS.460.3570A,https://doi.org/10.1086/379887 ; https://doi.org/10.1086/507411 ; https://doi.org/10.1051/0004-6361/201015462 ; https://doi.org/10.1088/1674-4527/10/4/003 ; https://doi.org/10.1088/2041-8205/779/1/L14 ; https://doi.org/10.1088/0004-637X/800/2/104 ; https://https://doi.org/10.1093/mnras/stw1200,Need to double check the redshift for this system; Note that Arp 299 is mistakenly claimed to comprise IC 694 and NGC 3690 but IC 694 is a lenticular galaxy not associated with the two primary merging galaxies; our naming convention takes this into account. I quote the XMM 2-10keV X-ray coordinates of the AGNs from Ballo+ to avoid confusion with multiple APG namings but these coordinates are likely not the same exact coordinate as the Chandra source (which was not listed). Separation not based on X-ray coordinates but on work by Heckman. Garcia-Marin+2006 found that location B1 in NGC 3690 had syefert like ratios whereas Perez-Torres report the discovery of a LLAGN in IC 694 based on VLBI imaging from EVN. Alonso-Herrero+2013 presented evidence in support of the scenario in which both AGNs are deeply buried but Ptak+2015 found no evidence for more than one AGN in NuSTAR imaging. But the findings by Ptak+2015 do not necessarily disagree with the findings of the previous papers; a non-detection in IC 694 would be expected if it is indeed a LLAGN and deeply embedded. Anastasopoulou+ results do not give evidence for a buried or a weak AGN in Arp299A.

Dual AGN,ESO509-IG066,ESO509-IG066E,,X-ray Imaging / X-ray Spectroscopy,0.033223,spec,13:34:40.8,-23:26:45,J2000,X-ray,XMM,,,mag,ESO509-IG066W,0.034307,spec,13:34:39.7,-23:26:48,J2000,X-ray,XMM,16.6,V,mag,16,,Guainazzi+2005 ; Kosec+2017,2005A&A...429L...9G ; 2017ApJ...850..168K,https://doi.org/10.1051/0004-6361:200400104 ; https://doi.org/10.3847/1538-4357/aa932e,Coordinates correspond to the X-ray positions but the quoted separation is for the optical nuclei. Kosec+ followed up this system and showed using Chandra NuSTAR and Keck that one of the SMBHs as undegone a dramatic drop in accretion rate

Binary AGN,CSO 0402+379,CSO 0402+379 C1,Serendipitous / Radio Imaging,Radio Imaging,0.055,spec,04:05:49.2627587,+38:03:32.234373,J2000,Radio,VLBA,18.5,V,mag,CSO 0402+379 C2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.0068,7.3e-3,Maness+2004 ; Rodriguez+2006 ; Morganti+2009 ; Burke-Spolaor+2011 ; Romani+2014,2004ApJ...602..123M ; 2006ApJ...646...49R ; 2009A&A...496L...9M ; 2011MNRAS.410.2113B ; 2014ApJ...780..149R,https://doi.org/10.1086/380919 ; https://doi.org/10.1086/504825 ; https://doi.org/10.1051/0004-6361/200911705 ; https://doi.org/10.1111/j.1365-2966.2010.17586.x ; https://doi.org/10.1088/0004-637X/780/2/149,Coordinates from Simbad. Also known as ICRF J040549.2+380332. Romani+2014 probed structure of host. We need to go back and get the coordinates to each source. Optical imaging and spectroscopy and submm imaging and near-IR imaging also used to analyze this source.

Binary SMBH Candidate,3C 345,3C 345,Jet Precession / Variability,VLA Imaging,0.5928,spec,16:42:58.8100340220,+39:48:36.999540578,J2000,Optical,Gaia,16.59,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.00843e-6,2e-5,Caproni+2004a ; Lobanov+2005 ; Eguchi+2017,2004ApJ...602..625C ; 2005A&A...431..831L ; 2017MNRAS.468.4529E,https://doi.org/10.1086/381195 ; https://doi:10.1051/0004-6361:20041831 ; https://doi.org/10.1093/mnras/stx754,Coordinates from Simbad. Caproni+ assume a binary model to explain jet precession. Roland+ claim a binary in this system. Eguchi+ suggest that a binary hypothesis could explain the observed X-ray propertires where an unobscured AGN sits in front of a CT AGN but they cannot offer proof of this scenario. This scenario would be consistent with Roland+ claiming a binary in this system.

Binary SMBH Candidate,SDSS J1048+0055,SDSS J1048+0055,Double-Peaked Spectroscopic Emission Lines / VLBA Imaging,,0.6422,spec,10:48:07.7446055,+00:55:43.481926,J2000,Radio,VLBA,21.42,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.5e-3,,Zhou+2004 ; Jaiswal+2019,2004ApJ...604L..33Z ; 2019ApJ...873...11J,https://doi.org/10.1086/383310 ; https://doi.org/10.3847/1538-4357/ab0176,Double-peaked emission lines considered as two separate NLRs and VLBA imaging reveals two sources separted via roughly 2.5 mas. Coordinates taken from Simbad. ICRF designation on Simbad. Using VLBI Jaiswal+2019 showed evidence for the double peak emission being driven by jet-NLR interactions instead of a dual AGN but binary scenario is not ruled out.

(%)Dual AGN,J0321-455,J0321-455N,Serendipitous / Radio Imaging,Fiber Spectroscopy / Long-Slit Optical Spectroscopy / Radio Imaging,0.0717,spec,03:21:26.121,-45:30:27.05,J2000,Infrared,2MASS,15.79,V,mag,J0321-455S,0.0711,spec,03:21:25.7683597022,-45:30:53.542410817,J2000,Optical,Gaia,15.59,V,mag,26.3,,Klamer+2004,2004MNRAS.351..101K,https://doi.org/10.1111/j.1365-2966.2004.07757.x,This is a system of radio tailed galaxies akin to 3C 75 and therefore is very likely to be hosting a pair of radio loud AGNs. Check with Barry about if this is long-slit or not.

(%)Binary Quasar,SDSS J1120+6711,SDSS J1120+6711A,Optical Imaging / Optical Colors,Optical Imaging / NIR Imaging / Long-Slit Optical Spectroscopy,1.49,spec,11:20:12.0987,+67:11:15.880,J2000,Optical,,17.3,H,mag,SDSS J1120+6711B,1.49,spec,RELATIVE,RELATIVE,J2000,Optical,,18.3,H,mag,1.75,,Pindor+2006,2006AJ....131...41P,https://doi.org/10.1086/497965,velocoity difference of roughly 10 km per s. Redshifts considered indistinguishable. Another object J1530 in this paper.. might want to include later.

(%)Binary Quasar,SDSSJ1600+0000,SDSSJ1600+0000,Optical Imaging / Optical Colors,,1.01,spec,16:00:15.51,+00:00:45.5,J2000,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.8,,Pindor+2006,2006AJ....131...41P,https://doi.org/10.1086/497965,This is in Hennawi's 2006 catalog

Dual AGN Candidate,EGSD2 J142033.66+525917.5,EGSD2 J142033.66+525917.5,Serendipitous / Double-Peaked Optical Spectroscopic Emission Lines,Optical Spectroscopic Emission Line Ratios / Long-Slit Optical Spectroscopy / X-ray Imaging / Optical Imaging,0.70701,spec,14:20:33.57522,+52:59:17.2848,J2000,Optical,,22.56,R,mag,-99,0.71060,spec,-99,-99,J2000,-99,-99,-99,-99,-99,0.17,,Gerke+2007 ; Comerford+2009a,2007ApJ...660L..23G ; 2009ApJ...698..956C,https://doi.org/10.1086/517968 ; https://doi.org/10.1088/0004-637X/698/1/956,Coordinates pulled from Simbad. I am reclassifying this as a candidate because it has not been confirmed to be double in other bands. Check with Barry about DIEMOS.

Recoil Candidate / Binary SMBH Candidate,SDSS J0927+2943,SDSS J0927+2943,Offset Spectroscopic Emission Lines,,0.713,spec,09:27:12.6487571806,+29:43:44.082086600,J2000,Optical,Gaia,18.63,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,Komossa+2008 ; Shields+2009a ; Bogdanović+2009 ; Dotti+2009 ; Heckman+2009 ; Decarli_2009 ; Decarli+2010,2008ApJ...678L..81K ; 2009ApJ...696.1367S ; 2009ApJ...697..288B ; 2009MNRAS.398L..73D ; 2009ApJ...695..363H ; 2009MNRAS.397..458D ; 2010A&A...511A..27D,https://doi.org/10.1086/588656 ; https://doi.org/10.1088/0004-637X/696/2/1367 ; https://doi.org/10.1088/0004-637X/697/1/288 ; https://doi.org/10.1111/j.1745-3933.2009.00714.x ; https://doi.org/10.1088/0004-637X/695/1/363 ; https://doi.org/10.1111/j.1365-2966.2009.14945.x ; https://doi.org/10.1051/0004-6361/200913760,Komossa+ argues that J0927 constitutes a likely recoil candidate while Shields+ argues that the superposition hypothesis deserves more attention and Bogdanović+ argues that the system is more likely a binary SMBH system. Dotti+ argue also that this system is more likely a binary. Heckman+ argue for a cluster environment in which a large and small galaxy are undergoing an interaction which could explain the severe differences in velocity. Decarli+2009 find the field is too underdense to explain the velocity offset via a cluster environment. Decarli+2010 find a quasar companion to this system but it is offset by a significant amount of projected space and would not affect the observed emission.

Dual AGN,Mrk 463,Mrk 463E,,X-ray Imaging / X-ray Spectroscopy,0.0504,spec,13:56:02.886,+18:22:18.84,J2000,Infrared,2MASS,14.22,V,mag,Mrk 463W,0.0504,spec,13:56:02.620,+18:22:17.76,J2000,Optical,SDSS,,,mag,3.83,,Bianchi+2008 ; Wang+2010 ; Imanishi+2014 ; Dutta+2018,2008MNRAS.386..105B ; 2010RAA....10..309W ; 2014ApJ...780..106I ; 2018MNRAS.480..947D,https://doi.org/10.1111/j.1365-2966.2008.13078.x ; https://doi.org/10.1088/1674-4527/10/4/003 ; https://doi.org/10.1088/0004-637X/780/1/106 ; https://doi.org/10.1093/mnras/sty1872,Angular separation comes from separation of the Chandra sources; Imanishi+ note that only one nucleus is selected in the mid-IR using their near-IR color criteria.

Binary SMBH Candidate / Dual AGN Candidate / Double-Peaked Emitter Candidate,J1536+0441,J1536+0441,Double-Peaked Optical Spectroscopic Emission Lines,,0.388,spec,15:36:36.2232172770,+04:41:27.064213945,J2000,Optical,Gaia,17.41,V,mag,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.03792597,,Boroson+2009 ; Chornock+2009 ; Wrobel+2009 ; Lauer+2009 ; Decarli+2009 ; Tang+2009 ; Chornock+2010 ; Gaskell+2010 ; Bondi+2010,2009Natur.458...53B ; 2009ATel.1955....1C ; 2009ApJ...699L..22W ; 2009ApJ...703..930L ; 2009ApJ...703L..76D ; 2009ApJ...704.1189T ; 2010ApJ...709L..39C ; 2010Natur.463E...1G ; 2010ApJ...714L.271B,https://doi.org/10.1038/nature07779 ; NA (Astronomer Telegraph) ; https://doi.org/10.1088/0004-637X/699/1/L22 ; https://doi.org/10.1088/0004-637X/703/1/930 ; https://doi.org/10.1088/0004-637X/703/1/L76 ; https://doi.org/10.1088/0004-637X/704/2/1189 ; https://doi.org/10.1088/2041-8205/709/1/L39 ; https://doi.org/10.1038/nature08665 ; https://doi.org/10.1088/2041-8205/714/2/L271,Boroson+ originally identify this as a binary candidate while later works suggest a dual hypothesis (Decarli+ and Wrobel+). Chornock argue that it is an unusual double peak emitter. While there is a double optical K-band and radio sources (shown by Wrobel+ Decarli+ and Lauer+) Lauer+ show that the dual AGN hypothesis is not consistent with the data. While they do not rule out the binary hypothesis they do state that the Double-Peaked scenario could be true. Chornock+2010 argue in favor again of the Double-Peaked emitter hypothesis. They show the broad emission components arise from the same region and no velocity shifts are observed in the spectra across ~1 year. Chornock+ vannot conclusively rule out binary but prefer Double-Peaked emitter. Gaskell+ also argues in favor of the Double-Peaked emitter hypothesis. Coordinates drawn from the naming convention but we should consider changing these to the positions of the radio nuclei. Bondi+ show that there do exist two compact radio nuclei in J1536 as well as in the companion 0.97'' away confirming the presnce of two AGNs in the vicinity. They bring up that the Chornock conclusion was based on data obtained in seeing conditions worse than the angular separation of the two so the conclusion about spatially coincident broad lines may not be true. While Bondi do not make any firm conclusions on the nature of J1536 they do clearly confirm the VLA-A and VLA-B sources detected by Wrobel+ with a separation 0.97'' or ~5.1kpc separation. Need to update this liting.
